track,model,population,n_units,n_test,prevalence,roc_auc,roc_auc_sd_units,ap,brier,ece,precision,recall_sensitivity,specificity,f1,threshold_rule,grid
B1,MaxEnt_biswas15_LQHP,all,3,4160767.0,0.06455399804290514,0.9321201919167489,0.016394910949110237,0.4755469830681187,0.051615856745883835,0.04147819179511227,0.4154980948377201,0.7191072850058585,0.9272080231562431,0.5252458758373478,max-F1 on validation,1 km
B1,MaxEnt_biswas15_LQHP,forest,3,1197538.0,0.2243055908981961,0.7870423880569325,0.03821279584706353,0.49531871847855435,0.16947012823805818,0.11414756979406084,0.4114631350820765,0.7631963250249311,0.6776874156664267,0.5327939814307104,max-F1 on validation,1 km
B1,MaxEnt_v2,all,3,4160767.0,0.06455399804290514,0.956417015304758,0.012282813830783642,0.5608843158303377,0.04135859745541436,0.019316005258715133,0.5124989851354805,0.6427124098774347,0.9567206601287088,0.5679519441635367,max-F1 on validation,1 km
B1,MaxEnt_v2,forest,3,1197538.0,0.2243055908981961,0.828445374660158,0.028968690212571886,0.5629778111778335,0.1419548634507346,0.06790423305847354,0.5128735466157067,0.6452496430573931,0.8227281300873351,0.5691956831704635,max-F1 on validation,1 km
B1,RF_biswas15,all,3,4160767.0,0.06455399804290514,0.9456208384208629,0.0174811009261332,0.5229426123006327,0.05069062786180197,0.06261414807230976,0.42774737367165544,0.7875028053774055,0.9214706185416981,0.5506125190803404,max-F1 on validation,1 km
B1,RF_biswas15,forest,3,1197538.0,0.2243055908981961,0.8082843034685882,0.04180163108110493,0.5342126779664166,0.16353234948322187,0.144212276272094,0.43212160996760773,0.796579601424877,0.6892495774800218,0.5575271727642259,max-F1 on validation,1 km
B1,RF_cdr7static,all,3,4160767.0,0.06455399804290514,0.9486068877092974,0.012474425731323412,0.47162078126912027,0.07087589041105626,0.079461872515158,0.4308463430284932,0.7175915581941247,0.9335297806709854,0.5379709471255427,max-F1 on validation,1 km
B1,RF_cdr7static,forest,3,1197538.0,0.2243055908981961,0.7931779763210801,0.02586544201901673,0.4728262463881728,0.24102701063205045,0.2661976336530192,0.43087414292022036,0.7204438903530125,0.7235866484314345,0.5387970405253962,max-F1 on validation,1 km
B1,RF_v1_corrlabel,all,3,4160767.0,0.06455399804290514,0.9596834974861667,0.014475064231102713,0.5819209878699109,0.04578776720990807,0.04906496600478436,0.4977878378547238,0.7140028499059691,0.9454769384552186,0.5812777609942968,max-F1 on validation,1 km
B1,RF_v1_corrlabel,forest,3,1197538.0,0.2243055908981961,0.8379928969330664,0.04220475086585615,0.5828330721737561,0.15581627282008867,0.15658450319747105,0.4977124677353339,0.7161505743860189,0.7823084316755186,0.5819382164656975,max-F1 on validation,1 km
B1,RF_v2,all,3,4160767.0,0.06455399804290514,0.9593519592598948,0.014067287452976265,0.5814967217039709,0.047235812365914565,0.05341270005544171,0.4900723611556937,0.7303251706331816,0.9409497405558432,0.5777095303038965,max-F1 on validation,1 km
B1,RF_v2,forest,3,1197538.0,0.2243055908981961,0.8379859456697362,0.038630706367742816,0.582837364701554,0.16046376779182267,0.16657561879157715,0.49004792521959956,0.7331706125259889,0.7663334690583993,0.5786038129549723,max-F1 on validation,1 km
B1hist,MX_HIST_v1_histlabel_fold0,all,1,1387033.0,0.0747776008213214,0.9480592773784288,,0.6198362220322211,0.0523339664827318,0.0387455605448225,,,,,none (no validation split),1 km
B1hist,MX_HIST_v1_histlabel_fold1,all,1,1386948.0,0.047802080539429,0.9625708643881916,,0.5480840388871275,0.0340110542144351,0.0209157618838195,,,,,none (no validation split),1 km
B1hist,MX_HIST_v1_histlabel_fold2,all,1,1387028.0,0.0721369720005652,0.9358294314763272,,0.4526708577254694,0.0561906929984122,0.0326967691315251,,,,,none (no validation split),1 km
B1hist,RF_v1_histlabel_fold0,all,1,1387033.0,0.0747776008213214,0.9491865250196538,,0.5871035890745535,0.0564542935565905,0.0723539529783604,,,,,none (no validation split),1 km
B1hist,RF_v1_histlabel_fold1,all,1,1386948.0,0.047802080539429,0.9662538203686312,,0.5588567961497838,0.038225022797687,0.0495742442363976,,,,,none (no validation split),1 km
B1hist,RF_v1_histlabel_fold2,all,1,1387028.0,0.0721369720005652,0.9423118038793052,,0.4901697395168893,0.0542148485441462,0.0608366529122098,,,,,none (no validation split),1 km
B1hist_v2origin,RF_v1_histlabel_fold0,all,1,1387132.0,0.0500089393078668,0.9458577378629924,,0.4214906217031466,0.0416226623575252,0.0502677878150703,,,,,none (no validation split),1 km
B1hist_v2origin,RF_v1_histlabel_fold1,all,1,1386941.0,0.0901047701380231,0.9526675142567874,,0.5846870211401594,0.0603251796886066,0.0646558106509826,,,,,none (no validation split),1 km
B1hist_v2origin,RF_v1_histlabel_fold2,all,1,1386936.0,0.0546059803768883,0.950802802853872,,0.5557885601273672,0.0491734799391623,0.0703177170747944,,,,,none (no validation split),1 km
B2,MaxEnt_biswas15_LQHP,all,6,4160768.0,0.08009982902714446,0.8558478230069596,0.0918915856889,0.26923181940096735,0.08938641192177756,0.08136415409346981,0.2776323131465791,0.34513469492768784,0.931878282832716,0.27306897858437934,max-F1 on validation,1 km
B2,MaxEnt_biswas15_LQHP,forest,6,1197538.0,0.19709568455270712,0.6732230175490046,0.10858823400399388,0.30538831833347585,0.21360159717936242,0.18610337744072514,0.297665111857592,0.3515344736368071,0.7828527201522765,0.2843933674453178,max-F1 on validation,1 km
B2,MaxEnt_v2,all,6,4160768.0,0.08009982902714446,0.9007437747893831,0.06678972763656982,0.3360030222839363,0.07986788823968315,0.06540151308705065,0.36406425684553306,0.528682769560926,0.910784327071453,0.3856842341529938,max-F1 on validation,1 km
B2,MaxEnt_v2,forest,6,1197538.0,0.19709568455270712,0.7301984413615896,0.06056303081034974,0.3508568526333229,0.20103707968049056,0.16007455244543958,0.3745292033568244,0.5306430214002504,0.7411089128006977,0.38889488110483295,max-F1 on validation,1 km
B2,RF_biswas15,all,6,4160768.0,0.08009982902714446,0.8894072168163483,0.04839146664920013,0.3323465801990142,0.07068791354821587,0.08726089603135993,0.35926265048859235,0.25978287834923625,0.9666709984075106,0.2134468617138947,max-F1 on validation,1 km
B2,RF_biswas15,forest,6,1197538.0,0.19709568455270712,0.7153228520177181,0.042524174512137365,0.35181251549110576,0.1759955969005367,0.15610519722415567,0.38176903922965494,0.2662857144122532,0.8676268358913458,0.22141293956426766,max-F1 on validation,1 km
B2,RF_cdr7static,all,6,4160768.0,0.08009982902714446,0.9231161174831976,0.047081947249729986,0.3649384266546835,0.08549424500148332,0.08135563084951468,0.37528273168768056,0.5762995442275306,0.9357177363357656,0.3996062153152226,max-F1 on validation,1 km
B2,RF_cdr7static,forest,6,1197538.0,0.19709568455270712,0.7494682112057784,0.05593565657828651,0.36645565358281224,0.25674664647326373,0.2775505391162637,0.3752882199254399,0.5790369592810646,0.7480088170489831,0.40029491844433224,max-F1 on validation,1 km
B2,RF_v2,all,6,4160768.0,0.08009982902714446,0.9351500598747876,0.03602516763281852,0.4115657975908184,0.06265795213166907,0.07272153172880355,0.4584345899349198,0.3482337514130072,0.9640027649113233,0.26353939958426736,max-F1 on validation,1 km
B2,RF_v2,forest,6,1197538.0,0.19709568455270712,0.7821979123174468,0.03362573359652861,0.4128258734755681,0.169499575289395,0.182953774218547,0.45844074745757696,0.3498093446628879,0.8447111787630668,0.26410887981615866,max-F1 on validation,1 km
B3static,MaxEnt_v2,all,1,4160768.0,0.0168584261367132,0.957469563808129,,0.2523533913030022,0.0419199491687567,0.059988546107951,,,,,none (no validation split),1 km
B3static,MaxEnt_v2,forest,1,1197538.0,0.0584866618011286,0.8468220622404489,,0.2526359356546244,0.1455007468657174,0.2072468738146112,,,,,none (no validation split),1 km
B3static,RF_biswas15,all,1,4160768.0,0.0168584261367132,0.9614692457320976,,0.264988664087321,0.0817006914797067,0.1137175076033812,,,,,none (no validation split),1 km
B3static,RF_biswas15,forest,1,1197538.0,0.0584866618011286,0.8644581442444272,,0.2661977910424606,0.2774750032962276,0.3697722548528009,,,,,none (no validation split),1 km
B3static,RF_v2,all,1,4160768.0,0.0168584261367132,0.9646303030902288,,0.2822013685673352,0.0809477908846673,0.1088072540174228,,,,,none (no validation split),1 km
B3static,RF_v2,forest,1,1197538.0,0.0584866618011286,0.8721851901251414,,0.2823026558303093,0.280470158214226,0.373982468058316,,,,,none (no validation split),1 km
B3static,persistence_null_everburned_trainyears,all,1,4160768.0,0.0168584261367132,0.806777596143096,,0.1313287162710351,0.0533492748466729,0.05334918551652,,,,,none (no validation split),1 km
B3static,persistence_null_everburned_trainyears,forest,1,1197538.0,0.0584866618011286,0.7435086567408757,,0.1457398643651863,0.1845235439753995,0.1845234808801056,,,,,none (no validation split),1 km
bridge12_A,LogReg_cdr7,all,1,4508.0,0.4205856255545696,0.9237086741814798,,0.8781081929483622,0.1084136179151658,0.0800853713515167,0.8461538461538461,0.8354430379746836,0.889739663093415,0.840764331210191,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_A,LogReg_cdr7,forest,1,2905.0,0.6523235800344234,0.8739515138848977,,0.8977887103201172,0.1394455543193877,0.0882888971368274,0.8518708354689902,0.8770448548812665,0.7138613861386138,0.8642745709828393,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_A,LogReg_v2agg,all,1,4508.0,0.4205856255545696,0.9560808682419988,,0.9470943992458928,0.075758367621309,0.0307217440127126,0.8700102354145343,0.8966244725738397,0.9027565084226646,0.8831168831168831,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_A,LogReg_v2agg,forest,1,2905.0,0.6523235800344234,0.9190140808276076,,0.9552050151257828,0.1083658818010246,0.0368478112055442,0.8785529715762274,0.8970976253298153,0.7673267326732673,0.8877284595300261,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_A,MaxEnt_cdr7,all,1,4508.0,0.4205856255545696,0.9584520647966864,,0.9515641540796784,0.1030765065192253,0.1026314731478751,0.8935037273695421,0.8850210970464135,0.9234303215926492,0.8892421833598305,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_A,MaxEnt_cdr7,forest,1,2905.0,0.6523235800344234,0.9269761488022152,,0.9602644869867992,0.1595486733986062,0.1621080242884187,0.8978063135366506,0.8854881266490765,0.810891089108911,0.8916046758767269,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_A,MaxEnt_v2agg,all,1,4508.0,0.4205856255545696,0.9661544655953374,,0.9539171468103396,0.0681120034592417,0.0490917038537002,0.8953732912723449,0.8982067510548524,0.923813169984686,0.8967877830437073,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_A,MaxEnt_v2agg,forest,1,2905.0,0.6523235800344234,0.9385297421562738,,0.9608445389344435,0.1036963944207799,0.0838870153337245,0.8947916666666667,0.9065963060686016,0.8,0.9006553079947576,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_A,RF_cdr7,all,1,4508.0,0.4205856255545696,0.979991022447516,,0.9723920660422,0.054860956497145,0.0130328927849768,0.8859429714857429,0.934071729957806,0.9127105666156202,0.9093709884467266,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_A,RF_cdr7,forest,1,2905.0,0.6523235800344234,0.9501523028292274,,0.9728435294339915,0.0844343389766011,0.0143243678845863,0.8859429714857429,0.9345646437994723,0.7742574257425743,0.9096045197740112,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_A,RF_v2agg,all,1,4508.0,0.4205856255545696,0.9808430418516294,,0.9754460405771505,0.0520235150297602,0.0181346263930474,0.9213903743315508,0.9087552742616034,0.9437212863705972,0.915029208709506,max-F1 on validation,12 km (CDR-PINO cells)
