path,sha256,size_bytes,config,embedded_test_auc,epochs,best_epoch,seed,n_params,identical_to
results\cdr_pino\unified\ckpt_B1_f2_diffadv_s44.pt,1e85ecfe6a214e45794ff96218e680a4db0f565df90ee65396fa0b76ef8100ef,8425789,diffadv,0.715716881163823,60,40.0,44.0,1054613,
results\cdr_pino\unified\ckpt_B1_f2_full_s42.pt,e76a6056b5d460f19d0c085fa20080de993009cee04af24a4e00fbcb38c2923e,8425611,full,0.7132347977878557,70,50.0,42.0,1054613,
results\cdr_pino\unified\ckpt_B1_f2_full_s43.pt,0229b6dc7e5c66a43e3e7e447c5cd3662e65876c6e42c812034642b1ceeab9ca,8425611,full,0.6908492392026109,40,20.0,43.0,1054613,
results\cdr_pino\unified\ckpt_B1_f2_full_s44.pt,5419a997ab3feb332b307cfce564e6eb86f78f29eebd21f3937929710d76af0c,8425611,full,0.7132851023337171,65,45.0,44.0,1054613,
results\cdr_pino\unified\ckpt_B1_f2_nophys_s42.pt,12fffd9d06713e9323f31f01e2a902134b49bfa12b49a8333cda9d50c3d4cb66,8425687,nophys,0.7373280351586677,80,80.0,42.0,1054613,
results\cdr_pino\unified\ckpt_B1_f2_nophys_s43.pt,981730e6defa98c06aa65e9698f27e48f5653f97dec6283d35e14c9e72866a1f,8425687,nophys,0.7403983963053488,80,80.0,43.0,1054613,
results\cdr_pino\unified\ckpt_B1_f2_nophys_s44.pt,cb344a202b9261b9685575589e3b1f8b8576d58220d900422a207a079558bcdc,8425687,nophys,0.6982794703651997,80,80.0,44.0,1054613,
results\cdr_pino\unified\ckpt_B2_r0_full_s42.pt,691a21258553f16afc6eccda1be121d2b4fa552c0813b4f63e69d8d3b72c673c,8425611,full,0.47152854585371845,30,10.0,42.0,1054613,
results\cdr_pino\unified\ckpt_B2_r0_full_s43.pt,8d51e38e256bc9c03eadca2c3fbfdbcd5b254d1eba998bf979832143af7d0330,8425611,full,0.4663235650680723,45,25.0,43.0,1054613,
results\cdr_pino\unified\ckpt_B2_r0_full_s44.pt,63602cd396796c1ff371eb65af1c497edc6fee2dccf3ef8119a48eed03c9e0ac,8425611,full,0.37852326813406534,80,80.0,44.0,1054613,
results\cdr_pino\unified\ckpt_B2_r0_nophys_s42.pt,eaa61b1f8916de681f8b260ad498ceb16ac10e8731f7adbad7cc302f08b4f056,8425687,nophys,0.5071234268974383,25,5.0,42.0,1054613,
results\cdr_pino\unified\ckpt_B2_r0_nophys_s43.pt,9b3fd8dce9fbeefa8c983c3b39e76e638ef3061e69a637be7bab88362d47076f,8425687,nophys,0.5617408503472534,25,5.0,43.0,1054613,
results\cdr_pino\unified\ckpt_B2_r0_nophys_s44.pt,d462ea73075d866745b1f000a9a641858668962adf05b212f59892c917bb9a88,8425687,nophys,0.48814157175739104,25,5.0,44.0,1054613,
results\cdr_pino\unified\ckpt_B2_r1_full_s42.pt,a44bff142a44ac4baa29a5b4dccab1a4654b040335468795c58fb0327a953e30,8425611,full,0.6021674651334398,80,60.0,42.0,1054613,
results\cdr_pino\unified\ckpt_B2_r1_full_s43.pt,f602bba24eb89317189bb7f903970366accfd30291f7ec781bcf371a1b229bab,8425611,full,0.634587563766629,45,25.0,43.0,1054613,
results\cdr_pino\unified\ckpt_B2_r1_full_s44.pt,4b2f1dbfc51c9caf915740856f510c81d1e8a408733a52921d7626192c645aec,8425611,full,0.6253942846532712,45,25.0,44.0,1054613,
results\cdr_pino\unified\ckpt_B2_r1_nophys_s42.pt,19b06152404775424bb0c8f9154c0f14d3bd801c085e035e0a3edaf49190eed8,8425687,nophys,0.6171698101127031,50,30.0,42.0,1054613,
results\cdr_pino\unified\ckpt_B2_r1_nophys_s43.pt,7a0f98d08b8f31fcdfb253da78ed6d701e3aaea10ba83117476fc0c4d9c3a49b,8425687,nophys,0.6289326422714125,25,5.0,43.0,1054613,
results\cdr_pino\unified\ckpt_B2_r1_nophys_s44.pt,b2b538f5ad01f7234d49ec8a8e64f81e344eb4504ce6b66f5329992c563ee57d,8425687,nophys,0.5725839110412508,25,5.0,44.0,1054613,
results\cdr_pino\unified\ckpt_B2_r2_full_s42.pt,0766bfa59967ce97bfd9e45c2f7b3526edb2e37579468f1a724877d662254b8c,8425611,full,0.42960477136895214,40,20.0,42.0,1054613,
results\cdr_pino\unified\ckpt_B2_r2_full_s43.pt,f3cb33d4c302aaed4aaefb421b16a9156185fc1925425269e27392626b9516ef,8425611,full,0.4348595478748844,75,55.0,43.0,1054613,
results\cdr_pino\unified\ckpt_B2_r2_full_s44.pt,92906f54223b5dfe22d641af2c6f4664c16951be2457c8c1836add59f7afa757,8425611,full,0.4777518566936033,40,20.0,44.0,1054613,
results\cdr_pino\unified\ckpt_B2_r2_nophys_s42.pt,d3d8f2a59492f50a8c85cc576f9fc6c99b71e8434bd8c4faa8c0108bffc7bd4b,8425687,nophys,0.4904056561104675,30,10.0,42.0,1054613,
results\cdr_pino\unified\ckpt_B2_r2_nophys_s43.pt,e5526449a4b257148895abbf9c36bcc2b1cb5a125c9c3364067900ecf9d4c126,8425687,nophys,0.4475216136967245,30,10.0,43.0,1054613,
results\cdr_pino\unified\ckpt_B2_r2_nophys_s44.pt,81d6d059bd839e36a14f1aca7f23817a71d64277c70a4a1d57f32c8eaae74a46,8425687,nophys,0.4362423993358534,30,10.0,44.0,1054613,
results\cdr_pino\unified\ckpt_B2_r3_full_s42.pt,d6afc0aabbd3bfe4bf2dc4bdd3961368bb354783732dd1804df208bce9fe37af,8425611,full,0.7323907615480649,30,10.0,42.0,1054613,
results\cdr_pino\unified\ckpt_B2_r3_full_s43.pt,0ca1146822c5940d4d89ce85dd74ff286e609a15f9263d28b28d10f90312cb0f,8425611,full,0.7466916354556803,40,20.0,43.0,1054613,
results\cdr_pino\unified\ckpt_B2_r3_full_s44.pt,eb75529482559014cbe9811fed910adc936aa7e2e811c3498d895968e434c67c,8425611,full,0.7463342696629214,45,25.0,44.0,1054613,
results\cdr_pino\unified\ckpt_B2_r3_nophys_s42.pt,4a09284205846e3f017c99ff6a09577c959dacc67ca3ab68252c134b39701ec1,8425687,nophys,0.8007798845193509,55,35.0,42.0,1054613,
results\cdr_pino\unified\ckpt_B2_r3_nophys_s43.pt,0a80614632944de7ac7255341445a6a238afae9eb2cb8230587d6fb1c8ae19f2,8425687,nophys,0.7718250624219726,25,5.0,43.0,1054613,
results\cdr_pino\unified\ckpt_B2_r3_nophys_s44.pt,7136239f1553f7123efd0fe57b4ce0514dd82913314093f582d941b0884db530,8425687,nophys,0.7407131710362047,25,5.0,44.0,1054613,
results\cdr_pino\unified\ckpt_B2_r4_full_s42.pt,efd9934446e62ec56e50646b66d29e9840d6d1a30842b9a3ce59d8bb7930c291,8425611,full,0.6299057299961732,55,35.0,42.0,1054613,
results\cdr_pino\unified\ckpt_B2_r4_full_s43.pt,0e98cef38a647ffa965ea84322f1dc3a7fc513d91d212e93ee33933e4d1fc78c,8425611,full,0.5839521060604369,60,40.0,43.0,1054613,
results\cdr_pino\unified\ckpt_B2_r4_full_s44.pt,5f5237020ac1b9117ee70e9a9ffd65c3d406764defa0cd719f68d819f113d297,8425611,full,0.5838495834978601,70,50.0,44.0,1054613,
results\cdr_pino\unified\ckpt_B2_r4_nophys_s42.pt,1da6da3fc027b084163f4502b5dc88f256f1dafe24c359dee3e52e0beade1551,8425687,nophys,0.7624311990707328,30,10.0,42.0,1054613,
results\cdr_pino\unified\ckpt_B2_r4_nophys_s43.pt,120dd978044cc858f5227c01ed78db6cb0742df711a23345dcc36896284c1256,8425687,nophys,0.8063839412447593,25,5.0,43.0,1054613,
results\cdr_pino\unified\ckpt_B2_r4_nophys_s44.pt,36d4e4e2c313ce71f817ec5df4d9bf3864fdbdbba05ffa513cb7519262adcdb8,8425687,nophys,0.7789929915846909,50,30.0,44.0,1054613,
results\cdr_pino\unified\ckpt_B2_r5_full_s42.pt,8efab97d763bf8014f6f03b33a852526634bbd2d33208ab22ac91fdfce968831,8425611,full,0.5931209728227769,30,10.0,42.0,1054613,
results\cdr_pino\unified\ckpt_B2_r5_full_s43.pt,e7235bc31ace09fef5829ee6cbffc9471b5859fd519c6ee1f1020380ae927c93,8425611,full,0.5618892345029738,45,25.0,43.0,1054613,
results\cdr_pino\unified\ckpt_B2_r5_full_s44.pt,ebb744bd4b7b853226c295189f57edc97a5bb7ab1146a6d602906ac5ae5f523e,8425611,full,0.5626413042085858,45,25.0,44.0,1054613,
results\cdr_pino\unified\ckpt_B2_r5_nophys_s42.pt,660af7f0843675439d80ff4688a09fa7b6cf12a5d6f3cbd93140179a60bf9ab2,8425687,nophys,0.5485830275405643,30,10.0,42.0,1054613,
results\cdr_pino\unified\ckpt_B2_r5_nophys_s43.pt,9d88f748e2318faa2d5a783da0f0f04eb1e460eb89ef3b81b33f2acd4e09f376,8425687,nophys,0.5703929325478021,80,80.0,43.0,1054613,
results\cdr_pino\unified\ckpt_B2_r5_nophys_s44.pt,77c29de13e6986ebbbbca5e7b53f6248d4aa8ccc0a24ffa1ccecbe8856af7dc6,8425687,nophys,0.5287477422187338,40,20.0,44.0,1054613,
results\cdr_pino\unified\ckpt_B3_diff_s42.pt,52aff9156940953a5eaca9b6afd0e798beb3182fdb8347c9e97f89bf2c0a5333,8425433,diff,0.8854173707622436,30,10.0,42.0,1054613,
results\cdr_pino\unified\ckpt_B3_diff_s43.pt,22118deb8a0b3e789dd98cda233c0a2192b44470c617bec31536dec17c286cdf,8425433,diff,0.891989736932197,65,45.0,43.0,1054613,
results\cdr_pino\unified\ckpt_B3_diff_s44.pt,d216db7c5b4c1c837d4d6b6f0f4d9eb87a90345154dcec2ccdb5e1f20bd26c80,8425433,diff,0.879161716048418,25,5.0,44.0,1054613,
results\cdr_pino\unified\ckpt_B3_diffadv_s42.pt,f63a11cd5f29e19c0a1bf0c18ae26cf662ba92bc9045e00c2f0d8b2aec52afe5,8425611,diffadv,0.8946137717790394,80,65.0,42.0,1054613,
results\cdr_pino\unified\ckpt_B3_diffadv_s43.pt,1b1e2c9828eefb400c61a9fa41b9c0e81421884c33d0b49baeb8ba4a8339af79,8425611,diffadv,0.8948200342275061,80,70.0,43.0,1054613,
results\cdr_pino\unified\ckpt_B3_diffadv_s44.pt,6604a710a00a53e4c0c05da2cf3a4b5e01359370465bef9b9fafb3c60b225fea,8425611,diffadv,0.8929415890987706,80,75.0,44.0,1054613,
