cell,prob
2025,3.151893296615693e-05
2026,1.506639602133486e-05
2027,9.549220159055238e-08
2028,1.158082088670298e-05
2029,3.755946566608159e-05
3020,7.343165418594033e-05
3021,0.00015680853498134528
3022,0.00016622160546397868
3023,0.0003660380160647181
3024,2.992138109603193e-05
3025,6.743975382139666e-06
3026,2.4986775016277996e-05
3027,2.9522090696509906e-06
3028,9.767798867632571e-06
3029,1.4836007696028553e-05
3030,0.00013404753190604524
3031,0.00011467072398008149
4019,5.453350373996191e-05
4020,3.690274461420895e-05
4021,0.003487286218710195
4022,6.8343478302757e-05
4023,0.005905021469442051
4024,2.855498276732593e-05
4025,7.641354448251203e-05
4026,5.535781132048889e-05
4027,0.0010890828931768848
4028,0.0013722772994846366
4029,2.928850193417709e-05
4030,2.7605001822195163e-06
4031,4.30826629171932e-06
4032,6.887206328576312e-06
5018,0.002802819985455507
5019,0.0010076991826927229
5020,0.000351676213326213
5021,0.00048803584771539565
5022,0.0005711382722298763
5023,0.042994370564348516
5024,0.005987122539702683
5025,0.0008786567683360946
5026,0.00041492193507453035
5027,0.00839906299550841
5028,8.36400164462292e-05
5029,0.001992644314810943
5030,0.0091156410643769
5031,0.0021053183060777414
5032,6.012951014322532e-05
5033,1.349216963597577e-06
5034,3.323247352859937e-07
6018,0.006584655937227346
6019,0.0009916482467824395
6020,0.01654277068294241
6021,0.05498700403250578
6022,0.05783916603831463
6023,0.007122224723753678
6024,0.001441449966451347
6025,0.04531814110054655
6026,0.26483038222731614
6027,0.005373799531750656
6028,0.00015995575314242672
6029,0.0011146833298879555
6030,0.0006795880730262605
6031,3.9427780711420723e-05
6032,0.00022478652806878774
6033,0.00025693516493385804
6034,0.00010196477241142254
6045,3.9115377603593515e-12
7021,0.999999998126294
7022,1.0
7023,0.9999999999999999
7024,0.8497093679727933
7025,0.019171668420448262
7026,0.10100449909662468
7027,0.001502729811030945
7028,0.04126542652341958
7029,0.0016879551134146853
7030,0.001118886119663931
7031,4.0877882890866246e-05
7032,9.53795568237048e-06
7033,5.48315016198897e-05
7034,0.00025664120644863786
7035,0.00011600399433631114
7036,5.694659903299204e-06
7037,5.51630618295107e-07
7041,8.568797893460101e-10
7042,6.007616626391155e-11
7043,1.8258727862985324e-12
7044,7.576050897739606e-12
7045,9.279466084421983e-12
7046,2.9448665728182277e-12
8023,0.9996990470272943
8024,0.9727065305073836
8025,0.8928809471481801
8026,0.009670151046471398
8027,0.207181997739182
8028,0.0009461266158579118
8029,0.003424459879733388
8030,0.022394855746669662
8031,0.0002050747992550228
8032,2.330598949817908e-05
8033,7.044121693733363e-05
8034,5.772117046598524e-05
8035,0.0003566743968081987
8036,7.495699546955503e-05
8037,0.0003232478091482749
8038,3.742330415557049e-07
8039,3.4830834882981776e-09
8040,1.1065964811152185e-09
8041,1.8300513326963141e-09
8042,1.3652905472838484e-09
8043,2.4432311729327694e-10
8044,1.0700440533639721e-10
8045,5.635005795312509e-10
8046,1.5785472928797617e-10
8047,1.0587364318581649e-10
