cell,prob
2025,1.3062149926135191e-06
2026,3.8636279631187875e-07
2027,1.9792855122657826e-05
2028,2.6142201186019065e-06
2029,0.00012993646409298343
3020,1.629824719628914e-09
3021,2.9145498081639687e-07
3022,1.1145998675132773e-06
3023,2.015072111327676e-05
3024,1.1244990563819002e-05
3025,1.0629967833741816e-05
3026,2.753421255019539e-05
3027,2.52644352105591e-08
3028,3.764221156998815e-10
3029,1.5289668164886194e-07
3030,3.70128932568603e-05
3031,2.075370333698423e-06
4019,9.998293859503349e-09
4020,6.903997764595715e-07
4021,2.884922879364815e-06
4022,4.0502476542303434e-05
4023,2.461515041685125e-05
4024,0.00013519929239858008
4025,3.9967600896639865e-06
4026,1.1271334532381161e-08
4027,1.2043537779615754e-05
4028,9.493561492490699e-11
4029,4.71691652403905e-09
4030,3.78972874470751e-06
4031,6.950670982108775e-07
4032,1.885538298607159e-06
5018,0.00011096388651610223
5019,2.6149156856503097e-06
5020,8.369460379820115e-05
5021,0.0006667550372679854
5022,0.012081783880805053
5023,0.00928637094678908
5024,0.0082460920955304
5025,0.0003683028733840743
5026,0.002245901488216351
5027,1.2571186758236763e-08
5028,1.1348299355784519e-07
5029,7.83523435021749e-09
5030,1.323887655058087e-08
5031,4.2057360150060674e-08
5032,3.3635440899182356e-07
5033,7.811669768820195e-07
5034,1.490092058731296e-05
6018,6.1437545532117e-06
6019,2.6256582659200944e-05
6020,0.03465805920372922
6021,0.4049313075946984
6022,0.9997894408721518
6023,0.9999931104522635
6024,0.16631346763348265
6025,0.4387906621222666
6026,0.062043501389930755
6027,3.560407080049899e-06
6028,9.948147885330272e-05
6029,0.006872805737112131
6030,4.7069639733665625e-06
6031,4.991966688905336e-07
6032,1.3084749506120374e-08
6033,3.674219817284552e-10
6034,1.3687573297005429e-09
6045,1.3375310858876333e-09
7021,0.8840081110633426
7022,1.0
7023,1.0
7024,0.7830346389283214
7025,0.9988570853085231
7026,0.9780327592044574
7027,0.008838289745571437
7028,0.15191743164506966
7029,0.012139186543087543
7030,7.357932760254648e-05
7031,4.2325117696639936e-05
7032,3.4202766319157973e-07
7033,1.876774213815935e-08
7034,9.380363152899918e-11
7035,2.224868067557395e-10
7036,2.2312723890749453e-09
7037,1.267593914278109e-07
7041,2.6924525942106925e-09
7042,4.37444747092286e-10
7043,9.80798331440269e-10
7044,2.3445123620291497e-09
7045,3.1047969462072444e-07
7046,7.907018061414917e-07
8023,1.0
8024,0.9963027542582046
8025,0.5043512743812868
8026,0.061197178566619326
8027,0.1617736985719893
8028,0.00041543998239823576
8029,0.013156715228613614
8030,0.011100400741381855
8031,0.0003116706988787188
8032,0.00011948404652817324
8033,0.0029818130001089127
8034,0.0027609015361118594
8035,1.1582338059756836e-06
8036,2.6777672359479254e-06
8037,3.245474111679414e-09
8038,1.6384372258926305e-07
8039,1.4397006919963928e-09
8040,8.20196133233253e-11
8041,7.406631974404831e-10
8042,2.2033233237905847e-08
8043,5.3334568761442824e-08
8044,3.052981735196525e-07
8045,2.6463974290846792e-06
8046,0.0007786099505927568
8047,0.0028555139716220923
8048,0.018764639777726466
9024,0.8912409748984923
9025,0.246202411705567
9026,0.019150120586421515
9027,0.18255945982054844
9028,0.07623842230436806
9029,0.011488634657666918
9030,0.005636859597608956
9031,1.7272305236848418e-05
