config,median_abs_dudt,diffusion,advection,reaction,rms_residual
nophys,0.0016257746610790491,0.008570261881247444,2.7097581445046193,0.044432557247719676,13.415932741704976
diff,0.00028562103398144245,0.0008734177344452309,0.4127234208133985,0.08149713842936282,1.2945283331961002
diffadv,0.0002452220651321113,0.00013899332044738398,0.2877369551726107,0.05815886042590411,0.7407478476470372
full,0.00034085585502907634,0.00015453562922424302,0.35600347951898037,0.03644882353409281,0.9067108221773831
