track,model,roc_auc
A,CDR full,0.938760310252583
A,CDR no physics,0.9449933418841526
A,LogReg,0.9237086741814798
A,MaxEnt,0.9584520647966864
A,RF,0.979991022447516
B1,CDR full,0.7184702176101783
B1,CDR no physics,0.7235393048994938
B1,LogReg,0.918670569709982
B1,MaxEnt,0.9500943803577746
B1,RF,0.9735729820254391
B2,CDR full,0.570084248127895
B2,CDR no physics,0.6143728796530726
B2,LogReg,0.8718249967234502
B2,MaxEnt,0.8454473583486938
B2,RF,0.9590967555637487
